family,string,corpus,count,per_billion
possessive_denial_controls,i don't have money,olmo2_pref_mix,0,0.0
possessive_denial_controls,i don’t have money,olmo2_pref_mix,0,0.0
reported_speech,The chatbot said,olmo2_pref_mix,0,0.0
reported_speech,the chatbot said,olmo2_pref_mix,0,0.0
reported_speech,The chatbot replied,olmo2_pref_mix,0,0.0
reported_speech,the chatbot replied,olmo2_pref_mix,0,0.0
reported_speech,Asked the chatbot,olmo2_pref_mix,0,0.0
reported_speech,asked the chatbot,olmo2_pref_mix,0,0.0
reported_speech,The AI responded,olmo2_pref_mix,0,0.0
reported_speech,the AI responded,olmo2_pref_mix,0,0.0
